2020-06-16 11:39:23.849 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-06-16 11:39:23.859 [main] INFO  com.test.demo.DemoApplication - Started DemoApplication in 2.864 seconds (JVM running for 3.587)
2020-06-16 11:39:45.261 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-16 11:39:45.262 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-16 11:39:45.268 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-06-16 11:39:45.831 [http-nio-8080-exec-1] INFO  com.test.demo.controller.LockController - 执行线程数:10,总耗时:545,count数为:10
2020-06-16 11:42:13.783 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-16 12:22:46.242 [main] INFO  com.test.demo.DemoApplication - Starting DemoApplication on bogon with PID 50539 (/Users/chao/IdeaProjects/ranking-list-redis-1/target/classes started by chao in /Users/chao/IdeaProjects/ranking-list-redis-1)
2020-06-16 12:22:46.245 [main] INFO  com.test.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-06-16 12:22:46.908 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-16 12:22:46.911 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-16 12:22:46.940 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
2020-06-16 12:22:47.283 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-16 12:22:47.291 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
